93,"14271 TADDINGTON DRIVE","GRANGER","IN","46530"
94,"11643 ROUND OAK DR","GRANGER","IN","46530"
95,"50608 CARRINGTON PLACE","SOUTH BEND","IN","46637"
96,"719 W MISHAWAKA AV","MISHAWAKA","IN","46545"
97,"52932 MARKS ST","SOUTH BEND","IN","46637"
98,"710 34TH","SOUTH BEND","IN","46615"
99,"1437 CHESTER","SOUTH BEND","IN","46615"
100,"310 W 9TH ST","MISHAWAKA","IN","46544"
101,"25541 EDISON RD","SOUTH BEND","IN","46628"
102,"533 ALTGELD","SOUTH BEND","IN","46614"
103,"1310 CHESTER ST","SOUTH BEND","IN","46615"
104,"52751 JUNIPER RD","SOUTH BEND","IN","46637"
105,"55322 FOREST COVE CT","NEW CARLISLE","IN","46552"
106,"1937 BEVERLY PL","SOUTH BEND","IN","46628"
107,"5706 MELLON CT","GRANGER","IN","46530"
108,"51189 EAGLEWOOD DR","GRANGER","IN","46530"
109,"2716 BELKNAP LN","MISHAWAKA","IN","46544"
110,"10212 COPPER CHASE DR","GRANGER","IN","46530"
111,"617 33RD STREET","SOUTH BEND","IN","46615"
112,"54437 TERRACE LN","SOUTH BEND","IN","46635"
113,"2716 ANZIO AV","SOUTH BEND","IN","46615"
114,"130 MANOR DR","MISHAWAKA","IN","46544"
115,"545 N MANCHESTER DR","SOUTH BEND","IN","46615"
116,"910 W LAWRENCE ST","MISHAWAKA","IN","46545"
117,"4720 STARBOARD DR","SOUTH BEND","IN","46628"
118,"52933 HOLLOW TRL","SOUTH BEND","IN","46628"
119,"1442 CATHERWOOD","SOUTH BEND","IN","46614"
120,"53114 BONVALE DR","SOUTH BEND","IN","46635"
121,"1407 GAULEY RIVER DR","MISHAWAKA","IN","46544"
122,"19550 GILMER ST","SOUTH BEND","IN","46614"
123,"50846 STURBRIDGE DR","GRANGER","IN","46530"
124,"50954 PINE RIDGE DR","GRANGER","IN","46530"
125,"55194 MOSS RD","SOUTH BEND","IN","46628"
126,"617 W MISHAWAKA AV","MISHAWAKA","IN","46545"
127,"51805 WATERTON SQUARE CR","GRANGER","IN","46530"
128,"51199 DEER PATH DR","GRANGER","IN","46530"
129,"518 IRONWOOD","SOUTH BEND","IN","46615"
130,"1820 ROCKNE","SOUTH BEND","IN","46617"
131,"5035 IDLEWOOD","SOUTH BEND","IN","46619"
132,"15828 CLARENDON HILLS DR","GRANGER","IN","46530"
133,"2111 E LASALLE AV","MISHAWAKA","IN","46545"
134,"14603 BRICK RD","GRANGER","IN","46530"
135,"321 TERI","SOUTH BEND","IN","46614"
136,"1226 MINER","SOUTH BEND","IN","46617"
137,"1114 28TH","SOUTH BEND","IN","46615"
138,"52478 WINDOVER LN","GRANGER","IN","46530"
139,"51983 HEATHER COVE","SOUTH BEND","IN","46635"
140,"214 N WALNUT ST","MISHAWAKA","IN","46544"
141,"15888 DURHAM WAY","GRANGER","IN","46530"
142,"227 NOTRE DAME","SOUTH BEND","IN","46617"
143,"52629 SHELLBARK","SOUTH BEND","IN","46628"
144,"52088 MALLARD POINTE DR","GRANGER","IN","46530"
145,"1703 BADER","SOUTH BEND","IN","46617"
146,"1908 SOUTHERN VIEW DR","SOUTH BEND","IN","46614"
147,"52133 WOODRIDGE DR","SOUTH BEND","IN","46635"
148,"11665 STROHM DR S","MISHAWAKA","IN","46545"
149,"614 MARQUETTE","SOUTH BEND","IN","46617"
150,"1717 N MERRIFIELD AV","MISHAWAKA","IN","46545"
151,"19788 SOUTHLAND AVE","SOUTH BEND","IN","46614"
152,"1742 SUNNYMEDE","SOUTH BEND","IN","46615"
153,"142 SYLVAN GLEN","SOUTH BEND","IN","46615"
154,"710 SOMERSET AV","MISHAWAKA","IN","46544"
155,"4032 WOODVALE DR","SOUTH BEND","IN","46614"
156,"19285 DRESDEN DR","SOUTH BEND","IN","46637"
157,"10228 CONOVER DR","GRANGER","IN","46530"
158,"19961 RITTER AVE","SOUTH BEND","IN","46614"
159,"51287 WINDY WILLOW CT","SOUTH BEND","IN","46628"
160,"53790 OLIVE RD","SOUTH BEND","IN","46628"
161,"2110 SPRINGHILL","SOUTH BEND","IN","46628"
162,"812 HARTFIELD CT","MISHAWAKA","IN","46544"
163,"10453 PATRICIA CHURCH DR","GRANGER","IN","46530"
164,"24677 LAYTON RD","SOUTH BEND","IN","46614"
165,"6727 BLACKTHORN HARBOR DR","SOUTH BEND","IN","46628"
166,"25770 PACK TRAIL","SOUTH BEND",NA,"46628"
167,"1913 BOWMAN","SOUTH BEND","IN","46613"
168,"2028 PEACE ROSE LN","MISHAWAKA","IN","46544"
169,"1323 E COLFAX","SOUTH BEND","IN","46617"
170,"1142 HELMEN DR","SOUTH BEND","IN","46615"
171,"924 L W E","MISHAWAKA","IN","46544"
172,"512 BRAY","NEW CARLISLE","IN","46552"
173,"1714 MCKINLEY","SOUTH BEND","IN","46617"
174,"913 CALVERT","SOUTH BEND","IN","46613"
175,"4335 CROSS CREEK","SOUTH BEND","IN","46628"
176,"202 EDISON","SOUTH BEND","IN","46619"
177,"16576 BRANDON LN","GRANGER","IN","46530"
178,"58531 CRUMSTOWN HWY","SOUTH BEND","IN","46619"
179,"20044 JACKSON RD","SOUTH BEND","IN","46614"
180,"52159 PICKWICK LANE","SOUTH BEND","IN","46637"
181,"532 OAKSIDE","SOUTH BEND","IN","46614"
182,"53161 OAKMONT CENTRAL DR","SOUTH BEND","IN","46637"
183,"13690 ESTHER AVE","MISHAWAKA","IN","46545"
184,"10025 PATRICIA CHURCH DR /ASH","GRANGER","IN","46530"
185,"1722 WINSTON DR","SOUTH BEND","IN","46635"
186,"2509 DELAWARE","MISHAWAKA","IN","46544"
187,"52380 BRENDON HILLS DRIVE","GRANGER","IN","46530"
188,"312 IMUS DR","MISHAWAKA","IN","46545"
189,"51655 TRAILWOOD CT","GRANGER","IN","46530"
190,"123 S 34TH","SOUTH BEND","IN","46615"
191,"52424 SCOTT ST","SOUTH BEND","IN","46637"
192,"50725 POST RD","GRANGER","IN","46530"
193,"1530 MCKINLEY","SOUTH BEND","IN","46617"
194,"1623 E WAYNE ST","SOUTH BEND","IN","46615"
195,"714 CHERRY TREE LN","SOUTH BEND","IN","46617"
196,"19998 AUTEN RD","SOUTH BEND","IN","46637"
197,"1612 BIG SKY CT","OSCEOLA",NA,"46561"
198,"61571 HAVERFORD CT","SOUTH BEND","IN","46614"
199,"1614 ILLINOIS","SOUTH BEND","IN","46628"
200,"20315 OPAL STREET","SOUTH BEND","IN","46614"
201,"52517 SCENT TRL","SOUTH BEND","IN","46628"
202,"55074 RYAN PLACE DR","OSCEOLA","IN","46561"
203,"514 SOMERSET","MISHAWAKA","IN","46544"
204,"20388 KIEFER WAY","SOUTH BEND","IN","46637"
205,"823 REDDICK","MISHAWAKA","IN","46544"
206,"1223 LONGFELLOW","SOUTH BEND","IN","46615"
207,"3615 LINCOLNWAY","SOUTH BEND","IN","46619"
208,"2023 WABASH","SOUTH BEND","IN","46613"
209,"16123 WOODHAVEN CT","GRANGER","IN","46530"
210,"1760 KESSLER","SOUTH BEND","IN","46616"
211,"11814 EDISON RD","OSCEOLA","IN","46561"
212,"121 N EDISON AV","SOUTH BEND","IN","46619"
213,"12450 BRICK ROAD","GRANGER","IN","46530"
214,"19315 PASADENA","SOUTH BEND","IN","46614"
215,"24319 GERENCSER DR","SOUTH BEND","IN","46614"
216,"1602 L W E","MISHAWAKA","IN","46544"
217,"213 LIVINGSTON BAY CT","MISHAWAKA","IN","46544"
218,"1307 BEUTTER","SOUTH BEND","IN","46615"
219,"616 E ECKMAN ST","SOUTH BEND","IN","46614"
220,"50844 HEATHER HILL LN","GRANGER","IN","46530"
